year,scenario,source,capacity_mw,capacity_added_mw,capacity_retired_mw,capacity_factor,energy_generated_mwh,annualized_capex,opex,total_cost,emissions_t
2040,toronto_natural_gas_to_solar,solar,9640.449,731.852,0.0,0.22,18579072.454,347056147.96,222948869.45,570005017.41,371581.449
2040,toronto_natural_gas_to_solar,wind,8435.392,640.371,0.0,0.35,25862913.36,438640409.23,387943700.39,826584109.62,387943.7
2040,toronto_natural_gas_to_solar,natural_gas,9640.449,731.852,0.0,0.55,46447681.135,353483113.66,2090145651.1,2443628764.76,20901456.511
2041,toronto_natural_gas_to_solar,battery,905.103,65.625,41.633,0.15,1189305.035,36204110.66,9514440.28,45718550.94,0.0
2041,toronto_natural_gas_to_solar,solar,9902.948,262.499,0.0,0.22,19084961.066,356506122.03,229019532.79,585525654.82,381699.221
2041,toronto_natural_gas_to_solar,wind,8665.079,229.687,0.0,0.35,26567133.302,450584126.45,398506999.53,849091125.99,398507.0
2041,toronto_natural_gas_to_solar,natural_gas,9902.948,262.499,0.0,0.55,47712402.665,363108087.25,2147058119.92,2510166207.18,21470581.199
2042,toronto_natural_gas_to_solar,battery,929.748,67.412,42.767,0.15,1221688.561,37189910.53,9773508.49,46963419.02,0.0
2042,toronto_natural_gas_to_solar,solar,10172.595,269.647,0.0,0.22,19604624.493,366213408.96,235255493.91,601468902.87,392092.49
2042,toronto_natural_gas_to_solar,wind,8901.02,235.941,0.0,0.35,27290528.413,462853058.54,409357926.2,872210984.74,409357.926
2042,toronto_natural_gas_to_solar,natural_gas,10172.595,269.647,0.0,0.55,49011561.232,372995138.75,2205520255.45,2578515394.2,22055202.554
2043,toronto_natural_gas_to_solar,battery,955.064,69.247,43.931,0.15,1254953.856,38202552.7,10039630.85,48242183.55,0.0
2043,toronto_natural_gas_to_solar,solar,10449.584,276.989,0.0,0.22,20138437.809,376185015.1,241661253.7,617846268.81,402768.756
2043,toronto_natural_gas_to_solar,wind,9143.386,242.365,0.0,0.35,28033620.813,475456060.76,420504312.2,895960372.95,420504.312
2043,toronto_natural_gas_to_solar,natural_gas,10449.584,276.989,0.0,0.55,50346094.521,383151404.27,2265574253.47,2648725657.74,22655742.535
2044,toronto_natural_gas_to_solar,battery,981.069,71.133,45.127,0.15,1289124.93,39242768.05,10312999.44,49555767.49,0.0
2044,toronto_natural_gas_to_solar,solar,10734.115,284.531,0.0,0.22,20686786.3,386428137.6,248241435.6,634669573.2,413735.726
2044,toronto_natural_gas_to_solar,wind,9392.351,248.965,0.0,0.35,28796946.838,488402229.47,431954202.57,920356432.04,431954.203
