year,scenario,source,capacity_mw,capacity_factor,energy_generated_mwh,annualized_capex,opex,total_cost,emissions_t
2048,base_case,solar,8508.947,0.22,16398441.986,306322079.45,196781303.84,503103383.28,327968.84
2048,base_case,wind,9927.104,0.35,30436502.172,516209430.18,456547532.57,972756962.75,456547.533
2048,base_case,natural_gas,14181.578,0.55,68326841.61,519991184.24,3074707872.43,3594699056.68,30747078.724
2049,base_case,battery,2913.545,0.15,3828398.71,116541817.65,30627189.68,147169007.33,0.0
2049,base_case,solar,8740.636,0.22,16844954.323,314662907.65,202139451.87,516802359.52,336899.086
2049,base_case,wind,10197.409,0.35,31265256.13,530265270.3,468978841.94,999244112.24,468978.842
2049,base_case,natural_gas,14567.727,0.55,70187309.679,534149997.55,3158428935.53,3692578933.09,31584289.355
2050,base_case,battery,2992.878,0.15,3932641.982,119715128.83,31461135.86,151176264.68,0.0
2050,base_case,solar,8978.635,0.22,17303624.721,323230847.84,207643496.65,530874344.49,346072.494
2050,base_case,wind,10475.074,0.35,32116576.187,544703836.17,481748642.8,1026452478.97,481748.643
2050,base_case,natural_gas,14964.391,0.55,72098436.337,548694340.47,3244429635.17,3793123975.64,32444296.352
